,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Salary_In_Usd,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
215,2021,Machine Learning Engineer,EN,FT,"1,975,154.00","23,701.85",DE,DE,M,50
216,2021,Principal Data Engineer,SE,FT,"14,720,358.00","176,644.30",US,US,L,100
217,2021,Computer Vision Engineer,EN,PT,"2,276,404.00","27,316.85",DK,DK,S,50
218,2021,Data Scientist,MI,FT,"7,219,659.00","86,635.91",DE,DE,L,50
219,2021,Machine Learning Engineer,MI,FT,"7,054,154.00","84,649.85",BE,BE,M,100
220,2021,Data Analytics Manager,SE,FT,"11,139,730.00","133,676.76",US,US,L,100
221,2021,Machine Learning Engineer,MI,FT,"3,707,700.00","44,492.40",PL,PL,L,100
222,2021,Data Scientist,MI,FT,"9,302,789.00","111,633.47",GB,GB,L,50
223,2021,Data Scientist,MI,FT,"2,690,086.00","32,281.03",IN,IN,M,0
224,2021,Data Scientist,MI,FT,"4,476,262.00","53,715.14",GB,GB,L,50
225,2021,Machine Learning Scientist,SE,FT,"17,903,138.00","214,837.66",US,CA,L,100
226,2021,Principal Data Scientist,EX,CT,"33,100,912.00","397,210.94",US,US,S,100
227,2021,Data Scientist,SE,FT,"6,981,269.00","83,775.23",CA,CA,S,100
228,2021,Data Scientist,MI,FT,"7,054,154.00","84,649.85",DE,DE,L,50
229,2021,Data Scientist,SE,FT,"10,741,883.00","128,902.60",US,US,L,0
230,2021,Data Analyst,SE,FT,"5,711,976.00","68,543.71",CA,CA,M,100
231,2021,Big Data Engineer,EN,FT,"1,291,254.00","15,495.05",IN,IN,L,100
232,2021,ML Engineer,SE,FT,"20,369,792.00","244,437.50",US,US,S,100
233,2021,Director of Data Engineering,SE,FT,"15,913,900.00","190,966.80",US,US,L,100
234,2021,Data Analyst,SE,FT,"15,913,900.00","190,966.80",US,US,L,100
235,2021,Data Architect,MI,FT,"14,322,510.00","171,870.12",US,US,L,100
236,2021,Head of Data Science,MI,FT,"8,752,645.00","105,031.74",US,US,S,0
237,2021,Research Scientist,MI,FT,"5,077,330.00","60,927.96",CA,CA,M,100
238,2021,Data Scientist,MI,FT,"3,724,569.00","44,694.83",ES,ES,M,100
239,2021,Data Scientist,EN,FT,"318,278.00","3,819.34",VN,VN,M,0
240,2021,Data Engineer,EN,FT,"1,721,645.00","20,659.74",IN,IN,M,50
241,2021,Data Scientist,SE,FT,"8,250,641.00","99,007.69",CA,CA,L,100
242,2021,Data Analyst,MI,FT,"6,365,560.00","76,386.72",US,US,L,100
243,2021,Data Engineer,MI,FT,"8,752,645.00","105,031.74",US,US,L,100
244,2021,Data Scientist,SE,FT,"13,128,968.00","157,547.62",US,US,L,100
245,2021,AI Scientist,EN,FT,"1,436,468.00","17,237.62",IN,AS,S,100
246,2021,Data Engineer,MI,FT,"5,745,873.00","68,950.48",GB,GB,L,50
247,2021,Data Scientist,EN,FT,"2,915,665.00","34,987.98",FR,FR,L,50
248,2021,Data Engineer,MI,FT,"963,030.00","11,556.36",TR,TR,M,0
249,2021,Data Engineer,SE,FT,"7,661,111.00","91,933.33",GB,GB,L,50
250,2021,Principal Data Analyst,SE,FT,"13,526,815.00","162,321.78",US,US,M,100
251,2021,Data Scientist,MI,FT,"9,150,493.00","109,805.92",US,US,L,50
252,2021,Data Scientist,EN,FT,"7,161,255.00","85,935.06",US,US,S,100
253,2021,Principal Data Engineer,EX,FT,"47,741,700.00","572,900.40",US,US,L,100
254,2021,Data Scientist,EN,FT,"2,259,694.00","27,116.33",IN,IN,M,100
255,2021,Data Analyst,MI,FT,"7,399,964.00","88,799.57",US,US,L,100
256,2021,Big Data Architect,SE,FT,"7,933,318.00","95,199.82",CA,CA,M,50
257,2021,Data Engineer,MI,FT,"15,913,900.00","190,966.80",US,US,L,100
258,2021,Principal Data Scientist,SE,FT,"13,826,155.00","165,913.86",DE,DE,M,100
259,2021,Machine Learning Engineer,SE,FT,"14,720,358.00","176,644.30",US,US,L,50
260,2021,Director of Data Science,EX,FT,"11,286,615.00","135,439.38",DE,DE,L,0
261,2021,Data Scientist,MI,FT,"10,344,035.00","124,128.42",US,US,L,50
262,2021,Data Analyst,SE,FT,"5,079,001.00","60,948.01",DE,DE,L,50
263,2021,Data Scientist,MI,FT,"1,345,043.00","16,140.52",IN,IN,S,100
264,2021,Machine Learning Engineer,SE,FT,"5,272,673.00","63,272.08",IN,IN,L,0
265,2021,Data Scientist,MI,FT,"2,031,568.00","24,378.82",RS,DE,S,100
266,2021,Lead Data Engineer,SE,FT,"12,731,120.00","152,773.44",PR,US,S,50
267,2021,Data Engineer,MI,FT,"7,411,899.00","88,942.79",US,US,M,0
268,2021,Data Engineer,MI,FT,"8,893,881.00","106,726.57",US,US,M,0
269,2021,Data Engineer,MI,FT,"2,229,219.00","26,750.63",TR,TR,M,100
270,2021,Data Engineer,EN,FT,"5,173,052.00","62,076.62",DE,DE,M,50
271,2021,Data Engineer,EN,FT,"5,768,789.00","69,225.47",US,US,L,100
272,2021,Computer Vision Engineer,SE,FT,"1,504,421.00","18,053.05",BR,BR,M,0
273,2021,Data Science Consultant,EN,FT,"6,113,563.00","73,362.76",DE,DE,L,0
274,2021,Machine Learning Engineer,EN,FT,"6,763,408.00","81,160.90",NL,DE,S,100
275,2021,Data Scientist,SE,FT,"6,181,277.00","74,175.32",FR,FR,M,50
276,2021,Data Scientist,EN,FT,"7,956,950.00","95,483.40",US,US,M,100
277,2021,Data Scientist,EN,FT,"4,615,031.00","55,380.37",US,US,L,50
278,2021,AI Scientist,SE,FT,"4,376,323.00","52,515.88",ES,ES,L,100
279,2021,Data Scientist,SE,FT,"1,604,996.00","19,259.95",TR,TR,L,50
280,2021,Business Data Analyst,EN,FT,"4,702,717.00","56,432.60",LU,LU,L,100
281,2021,Data Engineer,MI,FT,"8,911,784.00","106,941.41",US,US,L,100
282,2021,Research Scientist,EN,FT,"7,956,950.00","95,483.40",JE,CN,L,0
